Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1RUTIdTnFs8lHSc0Zr4UJB,"0fA0VVWsXO9YnASrzqfmYu","Up Up & Away","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi",2009-01-01,227346,61,spotify:user:1258014128,2015-09-09T03:35:49Z,"hip hop,ohio hip hop,rap",0.66,0.881,10,-6.119,0,0.0849,0.0722,0.000034,0.362,0.586,120.017,4
5VSCgNlSmTV2Yq5lB40Eaw,"34v5MVKeQnIo0CWYMbbrPf","Love Me Again","Tribute","John Newman",2013-01-01,239894,65,spotify:user:1246524165,2015-09-09T03:35:59Z,"",0.495,0.894,2,-4.814,0,0.0441,0.00453,0.000596,0.103,0.213,126.03,4
5by21Fgyf6WbN3G7KB5VbQ,"1dXrVDV7evHGSp1JVjBucF","So Into You","Excuse My French","Wilhelm Tell Me",2011-11-04,197607,0,spotify:user:1246524165,2015-09-09T03:36:07Z,"hamburg indie",0.563,0.935,7,-4.939,1,0.0715,0.00135,0,0.395,0.799,134.502,4
6MdqqkQ8sSC0WB4i8PyRuQ,"2P3cjUru4H3fhSXXNxE9kA,6DPYiyq5kWVQS4RGwxzPC7,0VbIlorLz3I5SEtIsc5vAr","No Diggity","Another Level","Blackstreet,Dr. Dre,Queen Pen",1996-09-09,304600,76,spotify:user:1246524165,2015-09-09T03:36:49Z,"boy band,dance pop,hip hop,hip pop,neo soul,new jack swing,pop rap,quiet storm,r&b,rap,urban contemporary,g funk,gangster rap,west coast rap,lgbtq+ hip hop",0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,4
1gk3FhAV07q9Jg77UxnVjX,"4yvcSjfu4PC0CYQyLy4wSq","Gooey","ZABA","Glass Animals",2014-06-03,289306,72,spotify:user:1246524165,2015-09-09T03:37:31Z,"gauze pop,indietronica,shiver pop",0.487,0.369,11,-13.424,0,0.0406,0.736,0.0000375,0.0925,0.106,183.114,4
1snNAXmmPXCn0dkF9DaPWw,"6nS5roXSAGhTGr34W6n7Et,14L5rpGTLVUz1pD8fUeJB1,6nxWCVXbOlEVRexSbLsTer","You & Me - Flume Remix","Settle (The Remixes)","Disclosure,Eliza Doolittle,Flume",2013-06-11,282812,67,spotify:user:1258014128,2015-09-09T03:37:34Z,"house,pop,uk dance,lilith,australian dance,australian electropop,australian indie,downtempo,edm",0.593,0.392,10,-6.872,0,0.0257,0.382,0.000114,0.131,0.25,75.065,4
1oPenAfTz9oa1RWNBGy0tO,"6UcJxoeHWWWyT5HZP064om","Gold","Built on Glass","Chet Faker",2014-04-15,285290,0,spotify:user:1246524165,2015-09-09T03:38:51Z,"art pop,indietronica",0.616,0.505,1,-9.307,1,0.058,0.381,0.00115,0.161,0.228,139.956,4
1Mx9IaZfKyiwjqILDdBrCB,"5me0Irg2ANcsgc93uaYrpb","Juicy - Explicit Album Version","Greatest Hits","The Notorious B.I.G.",2007-03-02,301466,0,spotify:user:1258014128,2015-09-09T03:39:06Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.873,0.816,9,-4.645,1,0.256,0.483,0,0.146,0.79,96.067,4
7C4xSXtrxBTH37gx5eBujE,"6VDdCwrBM4qQaGxoAyxyJC","We Used to Vacation","Robbers & Cowards","Cold War Kids",2006,241706,0,spotify:user:1246524165,2015-09-09T03:39:15Z,"indie pop,indie rock,modern alternative rock,modern blues rock,modern rock,piano rock,pop rock,rock,stomp and holler",0.386,0.756,0,-4.255,1,0.0947,0.00907,0,0.109,0.319,75.709,3
4ZUDIwkUt4XGWXOTGBKQxK,"7pGyQZx9thVa8GxMBeXscB","Take A Minute","Troubadour","K'NAAN",2009,246506,38,spotify:user:1246524165,2015-09-09T03:40:12Z,"reggae fusion",0.673,0.814,1,-6.136,1,0.0677,0.0876,0,0.237,0.714,156.069,4
3NGGRoUkpWFlhSgQpOSN5p,"2PJgqhnhUl4BFrMRIoxE98","Where You Wanna Go","Tyme Flys EP (Deluxe Edition)","Thad Reid",2012-01-17,180813,0,spotify:user:1258014128,2015-09-09T03:40:17Z,"",0.752,0.687,10,-5.405,0,0.0643,0.0122,0,0.095,0.886,86.337,4
0ua0Go4NN4Td7l0Zre6Ce3,"5K4W6rqBFWDnAN6FQUkS6x","Flashing Lights","Graduation","Kanye West",2007-09-11,237506,0,spotify:user:1246524165,2015-09-09T03:41:40Z,"chicago rap,rap",0.634,0.649,6,-7.505,0,0.0486,0.0315,0,0.482,0.509,90.482,4
4n0o6mfRSnegM6Zc1qXDPn,"3ciRvbBIVz9fBoPbtSYq4x,44PA0rCQXikgOWbfY7Fq7m","Get Low","Ultimate Workout Vol. 3: Hip-Hop","Lil Jon & The East Side Boyz,Ying Yang Twins",2009-07-01,334066,0,spotify:user:1258014128,2015-09-09T03:43:08Z,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap,dance pop,hip hop,hip pop",0.52,0.627,1,-7.469,1,0.0699,0.0305,0,0.122,0.13,101.031,4
6OUkQGd1Wt2SuTctHdZPfj,"6LqNN22kT3074XbTVUrhzX","Blow - Cirkut Remix","I Am The Dance Commander + I Command You To Dance: The Remix Album","Kesha",2011-03-18,245053,39,spotify:user:1246524165,2015-09-09T03:44:46Z,"dance pop,electropop,pop,post-teen pop",0.782,0.605,11,-5.808,0,0.0817,0.0134,0.00486,0.0876,0.317,126.016,4
1CmUZGtH29Kx36C1Hleqlz,"3JhNCzhSMTxs9WLGJJxWOY,4myTppRgh0rojLxx8RycOp,56xTxG4nQMAs1GW9kvn0uA","Thrift Shop (feat. Wanz)","Thrift Shop (feat. Wanz)","Macklemore,Ryan Lewis,Wanz",2012-08-01,235613,69,spotify:user:1246524165,2015-09-09T03:45:00Z,"dance pop,pop,pop rap,seattle hip hop",0.781,0.526,6,-6.985,0,0.293,0.0619,0,0.0457,0.662,94.992,4
0k2GOhqsrxDTAbFFSdNJjT,"3Isy6kedDrgPYoTS1dazA9","Temperature","The Trinity","Sean Paul",2005-09-26,218573,78,spotify:user:1246524165,2015-09-09T03:45:20Z,"dance pop,dancehall,pop,pop rap",0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4
5rb9QrpfcKFHM1EUbSIurX,"23zg3TcAtWQy7J6upgbUnj,7sfl4Xt5KmfyDs2T3SVSMK,3ipn9JLAPI5GUEo4y4jcoi","Yeah! (feat. Lil Jon & Ludacris)","Confessions (Expanded Edition)","Usher,Lil Jon,Ludacris",2004-03-23,250373,82,spotify:user:1258014128,2015-09-09T03:45:40Z,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary,crunk,dirty south rap,pop rap,southern hip hop,hip hop,rap,trap",0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
1LeItUMezKA1HdCHxYICed,"21mKp7DqtSNHhCAU2ugvUw,0DGAOR3KtqWwWSwDzhzqOa","Say My Name (feat. Zyra)","In Return","ODESZA,Zyra",2014-09-08,262956,65,spotify:user:1246524165,2015-09-09T03:50:04Z,"chillwave,ninja,tropical house",0.749,0.745,6,-7.367,0,0.0479,0.0041,0.395,0.0748,0.347,115.048,4
6n6EXIwLtNwe4u4CFzENYm,"6v4jPZO3UIDNJIgdxRxtr9","The General","Bang Bang","Dispatch",1997-09-01,246920,62,spotify:user:1246524165,2015-09-09T03:50:39Z,"indie folk,jam band,modern folk rock,reggae rock,stomp and holler",0.541,0.675,10,-6.136,1,0.192,0.446,0,0.107,0.686,91.09,4
1Cwsd5xI8CajJz795oy4XF,"0Grjlu7ncIuCaSYvCs9fcd","You Get What You Give","Maybe You've Been Brainwashed Too","New Radicals",1998-01-01,300773,74,spotify:user:1246524165,2015-09-09T03:51:40Z,"pop rock",0.621,0.901,2,-5.396,1,0.0302,0.17,0,0.0875,0.744,113.967,4
6ooluO7DiEhI1zmK94nRCM,"0XNa1vTidXlvJ2gHSsRi4A","Take Me Out","Franz Ferdinand","Franz Ferdinand",2004,237026,35,spotify:user:1258014128,2015-09-09T03:52:42Z,"alternative rock,dance rock,dance-punk,modern rock,new rave,rock,scottish rock",0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,4
6hs3SDnbO3f6VQuPO4KBEb,"2M3vnW1p5w4uPRkLYTbvdB","Send Me on My Way","Music From Party of Five","Rusted Root",1996-11-12,263333,73,spotify:user:1246524165,2015-09-09T03:53:01Z,"jam band,pittsburgh rock",0.5,0.681,0,-9.556,1,0.0672,0.114,0.0000401,0.139,0.745,119.46,4
5YbeJyTQkdSAWe1Ie4sLAl,"0a1gHP0HAqALbEyxaD5Ngn","Life is a Highway - From Cars","Disney/Pixar Greatest","Rascal Flatts",2009-01-01,276706,55,spotify:user:1246524165,2015-09-09T03:54:34Z,"contemporary country,country,country road,pop rock",0.562,0.91,5,-6.939,1,0.058,0.00244,0,0.0676,0.606,103.057,4
